"date","total_vaccinations","people_vaccinated","people_fully_vaccinated","total_boosters","daily_vaccinations"
"2021-01-17",112,112,0,0,112
"2021-01-18",1109,1109,0,0,997
"2021-01-19",13527,13527,0,0,6708
"2021-01-20",105824,105824,0,0,35237
"2021-01-21",193699,193699,0,0,48397
"2021-01-22",462269,462269,0,0,92431
"2021-01-23",573268,573268,0,0,95526
"2021-01-24",613954,613954,0,0,87692
"2021-01-25",801759,801759,0,0,114379
"2021-01-26",1045746,1045746,0,0,147460
"2021-01-27",1327546,1327546,0,0,174532
"2021-01-28",1563098,1563098,0,0,195628
"2021-01-29",1923813,1923813,0,0,208792
"2021-01-30",2046523,2046523,0,0,210465
"2021-01-31",2084119,2084119,0,0,210024
"2021-02-01",2292551,2292551,0,0,212970
"2021-02-02",2521704,2521704,0,0,210851
"2021-02-03",2802134,2802134,0,0,210655
"2021-02-04",3074906,3074906,0,0,215973
"2021-02-05",3401383,3399421,1962,0,211081
"2021-02-06",3553681,3534004,19677,0,215308
"2021-02-07",3605538,3579850,25688,0,217346
"2021-02-08",3820207,3786591,33616,0,218237
"2021-02-09",4120332,4069677,50655,0,228375
"2021-02-10",4406835,4326075,80760,0,229243
"2021-02-11",4696136,4586270,109866,0,231604
"2021-02-12",5125206,4946738,178468,0,246260
"2021-02-13",5236943,5042713,194230,0,240466
"2021-02-14",5293979,5076110,217869,0,241206
"2021-02-15",5609937,5324317,285620,0,255676
"2021-02-16",5883539,5326007,557532,0,251887
"2021-02-17",6206680,5482925,723755,0,257121
"2021-02-18",6535156,5640483,894673,0,262717
"2021-02-19",6813168,5756361,1056807,0,241137
"2021-02-20",6950802,5817908,1132894,0,244837
"2021-02-21",7028356,5857080,1171276,0,247768
"2021-02-22",7297061,6002873,1294188,0,241018
"2021-02-23",7551676,6116082,1435594,0,238305
"2021-02-24",7799000,6202055,1596945,0,227474
"2021-02-25",8101787,6346769,1755018,0,223804
"2021-02-26",8322042,6437836,1884206,0,215553
"2021-02-27",8433568,6518628,1914940,0,211824
"2021-02-28",8465403,6542206,1923197,0,205292
"2021-03-01",8841027,6806293,2034734,0,220567
"2021-03-02",9277322,7114219,2163103,0,246521
"2021-03-03",9739676,7417852,2321824,0,277239
"2021-03-04",10169160,7701146,2468014,0,295339
"2021-03-05",10576542,7958939,2617603,0,322071
"2021-03-06",10830688,8142004,2688684,0,342446
"2021-03-07",10948409,8227671,2720738,0,354715
"2021-03-08",11357494,8504966,2852528,0,359495
"2021-03-09",11756131,8764547,2991584,0,354116
"2021-03-10",12181103,9013293,3167810,0,348775
"2021-03-11",12613179,9298511,3314668,0,349146
"2021-03-12",13017720,9547655,3470065,0,348740
"2021-03-13",13223729,9669967,3553762,0,341863
"2021-03-14",13286664,9718209,3568455,0,334036
"2021-03-15",13763573,10087787,3675786,0,343726
"2021-03-16",14198794,10402388,3796406,0,348952
"2021-03-17",14648691,10725474,3923217,0,352513
"2021-03-18",15087602,11055747,4031855,0,353489
"2021-03-19",15623349,11509501,4113848,0,372233
"2021-03-20",15883688,11739832,4143856,0,379994
"2021-03-21",15980363,11818482,4161881,0,384814
"2021-03-22",16567102,12314847,4252255,0,400504
"2021-03-23",17157631,12817812,4339819,0,422691
"2021-03-24",17886781,13436373,4450408,0,462584
"2021-03-25",18655345,14102934,4552411,0,509678
"2021-03-26",19577786,14928869,4648917,0,564920
"2021-03-27",19962072,15282128,4679944,0,582626
"2021-03-28",20216938,15513974,4702964,0,605225
"2021-03-29",21160763,16335279,4825484,0,656237
"2021-03-30",21950245,16995184,4955061,0,684659
"2021-03-31",22839287,17745732,5093555,0,707501
"2021-04-01",23880805,18639028,5241777,0,746494
"2021-04-02",24181208,18900837,5280371,0,657632
"2021-04-03",24575470,19222342,5353128,0,659057
"2021-04-04",24910668,19510333,5400335,0,670533
"2021-04-05",25658532,20056296,5602236,0,642538
"2021-04-06",26736003,20850120,5885883,0,683680
"2021-04-07",27644079,21538484,6105595,0,686399
"2021-04-08",28653848,22246612,6407236,0,681863
"2021-04-09",29544578,22693305,6851273,0,766196
"2021-04-10",30084664,23097172,6987492,0,787028
"2021-04-11",30356896,23300896,7056000,0,778033
"2021-04-12",31316420,23910515,7405905,0,808270
"2021-04-13",32217205,24473138,7744067,0,783029
"2021-04-14",33148388,24996380,8152008,0,786330
"2021-04-15",34050325,25478194,8572131,0,770925
"2021-04-16",34993448,25810304,9183144,0,778410
"2021-04-17",35603882,26085155,9518727,0,788460
"2021-04-18",35817144,26210282,9606862,0,780035
"2021-04-19",36910479,26707227,10203252,0,799151
"2021-04-20",37909705,27184073,10725632,0,813214
"2021-04-21",38467754,27518053,10949701,0,759909
"2021-04-22",39291064,27887014,11404050,0,748677
"2021-04-23",41073104,28783905,12289199,0,868522
"2021-04-24",41494939,28981002,12513937,0,841580
"2021-04-25",41626753,29041497,12585256,0,829944
"2021-04-26",42787199,29601947,13185252,0,839531
"2021-04-27",44287510,30275923,14011587,0,911115
"2021-04-28",45379804,30748674,14631130,0,987436
"2021-04-29",46426188,31243694,15182494,0,1019303
"2021-04-30",47399150,31696792,15702358,0,903721
"2021-05-01",47663526,31830880,15832646,0,881227
"2021-05-02",47755613,31884404,15871209,0,875551
"2021-05-03",48643324,32345310,16298014,0,836589
"2021-05-04",49626137,32896171,16729966,0,762661
"2021-05-05",50576224,33490395,17085829,0,742346
"2021-05-06",51624587,34271192,17353395,0,742628
"2021-05-07",52647815,35008550,17639265,0,749809
"2021-05-08",52972460,35253389,17719071,0,758419
"2021-05-09",53064124,35318058,17746066,0,758359
"2021-05-10",54008862,35926219,18082643,0,766505
"2021-05-11",54912939,36523507,18389432,0,755257
"2021-05-12",55907165,37233983,18673182,0,761563
"2021-05-13",56583962,37768491,18815471,0,708482
"2021-05-14",57313642,38320507,18993135,0,666547
"2021-05-15",57668646,38570631,19098015,0,670884
"2021-05-16",57935280,38752714,19182566,0,695879
"2021-05-17",58714631,39284275,19430356,0,672253
"2021-05-18",59603625,39891922,19711703,0,670098
"2021-05-19",60363334,40435632,19927702,0,636596
"2021-05-20",61297420,41089722,20207698,0,673351
"2021-05-21",62122684,41659039,20463645,0,687006
"2021-05-22",62459684,41882011,20577673,0,684434
"2021-05-23",63278821,42474538,20804283,0,763363
"2021-05-24",64098809,43008064,21090745,0,769168
"2021-05-25",64918585,43525933,21392652,0,759280
"2021-05-26",65668438,44045168,21623270,0,757872
"2021-05-27",66363506,44530761,21832745,0,723727
"2021-05-28",67359292,45284397,22074895,0,748087
"2021-05-29",67761958,45604680,22157278,0,757468
"2021-05-30",67874735,45684962,22189773,0,656559
"2021-05-31",68665647,46328168,22337479,0,652405
"2021-06-01",69477898,46932629,22545269,0,651330
"2021-06-02",70685368,47852026,22833342,0,716704
"2021-06-03",71245492,48321463,22924029,0,697427
"2021-06-04",71961789,48963900,22997889,0,657500
"2021-06-05",72586950,49491413,23095537,0,689285
"2021-06-06",72811509,49685501,23126008,0,705253
"2021-06-07",73614079,50381104,23232975,0,706919
"2021-06-08",74920113,51502554,23417559,0,777459
"2021-06-09",76117123,52567517,23549606,0,775965
"2021-06-10",77243101,53577624,23665477,0,856801
"2021-06-11",78471914,54685737,23786177,0,930018
"2021-06-12",79118243,55292343,23825900,0,933042
"2021-06-13",79466212,55617274,23848938,0,950672
"2021-06-14",80577338,56657381,23919957,0,994751
"2021-06-15",81940689,57910386,24030303,0,1002939
"2021-06-16",83181485,59068483,24113002,0,1009195
"2021-06-17",85441106,61187304,24253802,0,1171144
"2021-06-18",87160471,62785859,24374612,0,1241222
"2021-06-19",88108418,63659153,24449265,0,1284311
"2021-06-20",88570223,64099339,24470884,0,1300573
"2021-06-21",90013336,65421825,24591511,0,1348000
"2021-06-22",91420290,66688623,24731667,0,1354229
"2021-06-23",92782243,67890907,24891336,0,1371537
"2021-06-24",94322179,69113521,25208658,0,1268725
"2021-06-25",95764065,70369603,25404254,0,1229085
"2021-06-26",96545254,71090361,25520772,0,1205262
"2021-06-27",96789753,71319026,25568632,0,1174219
"2021-06-28",97929680,72324820,25866869,0,1130906
"2021-06-29",99828676,73943650,26348752,0,1201198
"2021-06-30",101167462,75097273,26642477,0,1197888
"2021-07-01",102561737,76284848,26949200,0,1177080
"2021-07-02",104047565,77586349,27259467,0,1183357
"2021-07-03",104753510,78210253,27418130,0,1172608
"2021-07-04",105097389,78512727,27489232,0,1186805
"2021-07-05",106696625,79835457,27854683,0,1252421
"2021-07-06",108247755,81152984,28317786,0,1202726
"2021-07-07",109976127,82649595,28929443,0,1258381
"2021-07-08",111573265,83948802,29547039,0,1287361
"2021-07-09",112999344,85166293,30044191,0,1278826
"2021-07-10",113929447,85922323,30387607,0,1310848
"2021-07-11",114350128,86272249,30545014,0,1321820
"2021-07-12",115654260,87264587,31003288,0,1279662
"2021-07-13",117154411,88385719,31569503,0,1272379
"2021-07-14",118689127,89449394,32219034,0,1244714
"2021-07-15",120155331,90743692,32832460,0,1226009
"2021-07-16",121651233,91739486,33467323,0,1235984
"2021-07-17",122615695,92434146,33818142,0,1240893
"2021-07-18",122859535,92630599,33891244,0,1215630
"2021-07-19",124433796,93786760,34383717,0,1254219
"2021-07-20",126315897,95101845,35053766,0,1308784
"2021-07-21",128199383,96304601,35808080,0,1358608
"2021-07-22",130131385,97428671,36676823,0,1425151
"2021-07-23",131858906,98712936,37161762,0,1458239
"2021-07-24",132812191,99391757,37463852,0,1456642
"2021-07-25",133139145,99610570,37583404,0,1468516
"2021-07-26",134540217,100522817,38110566,0,1443774
"2021-07-27",136158369,101528055,38761406,0,1406067
"2021-07-28",137944954,102535345,39603390,0,1392224
"2021-07-29",139483586,103363365,40360686,0,1336029
"2021-07-30",141319627,104477597,41116889,0,1351532
"2021-07-31",142301917,105083580,41507968,0,1355675
"2021-08-01",142598659,105292650,41599313,0,1351359
"2021-08-02",143762758,105934725,42147735,0,1317506
"2021-08-03",145618595,107137953,42823483,0,1351461
"2021-08-04",148054492,108658469,43769705,0,1444220
"2021-08-05",149763010,109745651,44414256,0,1468489
"2021-08-06",151506191,110841845,45086810,0,1455223
"2021-08-07",152313188,111342715,45397341,0,1430182
"2021-08-08",152680029,111566720,45542992,0,1440196
"2021-08-09",154190964,112476618,46160465,0,1489744
"2021-08-10",156399040,113880889,46980025,0,1540064
"2021-08-11",158422879,115251518,47644783,0,1481198
"2021-08-12",160674246,116780678,48383179,0,1558748
"2021-08-13",162832096,118175020,49164242,0,1617986
"2021-08-14",164215233,119132205,49606493,0,1700292
"2021-08-15",164680217,119504650,49705914,0,1714313
"2021-08-16",166750328,120686544,50600926,0,1794195
"2021-08-17",169753003,122541955,51771235,0,1907709
"2021-08-18",171741149,123678883,52629848,0,1902610
"2021-08-19",174263122,125160916,53680684,0,1941268
"2021-08-20",176376890,126384146,54578690,0,1934971
"2021-08-21",177587502,127168248,55013076,0,1910324
"2021-08-22",178173214,127600937,55170955,0,1927571
"2021-08-23",180251675,128859272,55999780,0,1928764
"2021-08-24",182654763,130267899,57002150,0,1843109
"2021-08-25",184707573,131489509,57838947,0,1852346
"2021-08-26",186102952,131918133,58811744,0,1691404
"2021-08-27",188045400,132939921,59746726,0,1666930
"2021-08-28",189376018,133608741,60412846,0,1684074
"2021-08-29",189971293,133947333,60672443,0,1685440
"2021-08-30",191515901,134777145,61384034,0,1609175
"2021-08-31",194176380,136127045,62698760,0,1645945
"2021-09-01",196166473,137067385,63754375,0,1636986
"2021-09-02",198142390,137897705,64905651,282,1719920
"2021-09-03",200077775,138653061,66093601,373,1718911
"2021-09-04",201126108,139039441,66758831,537,1678584
"2021-09-05",201522079,139210778,66984704,780,1650112
"2021-09-06",203024669,139985523,67702291,14059,1644110
"2021-09-07",203577189,140218809,68020838,17205,1342973
"2021-09-08",205296045,140820674,69133319,25446,1304225
"2021-09-09",207509808,141565747,70594540,37195,1338203
"2021-09-10",209917761,142382292,72173074,52191,1405712
"2021-09-11",211223433,142798088,73050585,67596,1442475
"2021-09-12",211710814,142983971,73355123,68590,1455534
"2021-09-13",213203733,143433748,74381040,88874,1454152
"2021-09-14",215338063,144100429,75814267,128791,1680125
"2021-09-15",217240047,144761529,76990802,197261,1706286
"2021-09-16",218735998,145238112,77988754,223085,1603741
"2021-09-17",221071595,146000277,79542916,249365,1593405
"2021-09-18",222156927,146371189,80250454,259046,1561928
"2021-09-19",222581680,146553215,80492254,260661,1552981
"2021-09-20",223781527,146923305,81250428,334020,1511113
"2021-09-21",225592884,147473077,82467468,381549,1464974
"2021-09-22",227304555,147966925,83644344,427712,1437787
"2021-09-23",229100357,148510818,84869772,458735,1480623
"2021-09-24",230893002,148994474,86119839,520839,1403058
"2021-09-25",231983152,149386359,86796636,543561,1403746
"2021-09-26",232495892,149565073,87122476,552379,1416316
"2021-09-27",233772505,149871708,87828174,818917,1427283
"2021-09-28",235617220,150382518,89101310,882537,1432048
"2021-09-29",237320144,150881737,90253376,937694,1430798
"2021-09-30",239190412,151420924,91430204,1095300,1441436
"2021-10-01",241200485,151901209,92759486,1302298,1472498
"2021-10-02",242252204,152166987,93442685,1407110,1467007
"2021-10-03",242632087,152277364,93674362,1445470,1448028
"2021-10-04",243733571,152519888,94337578,1643658,1423009
"2021-10-05",245292452,152926450,95257454,1877233,1382176
"2021-10-06",247057054,153310124,96345260,2171857,1390987
"2021-10-07",248820533,153699490,97382944,2509515,1375732
"2021-10-08",250516351,154010913,98464451,2814838,1330838
"2021-10-09",251524115,154181567,99070817,3047975,1324559
"2021-10-10",252149684,154292724,99520881,3116010,1359657
"2021-10-11",253164892,154580496,100085018,3281210,1347332
"2021-10-12",253561158,154693150,100324302,3326730,1181244
"2021-10-13",254426529,154798792,100864092,3545399,1052782
"2021-10-14",256762148,155526988,102264366,3755046,1134516
"2021-10-15",258849471,156015804,103527053,4093579,1190446
"2021-10-16",260157865,156313972,104314315,4320556,1233393
"2021-10-17",260683274,156420266,104630777,4428544,1219084
"2021-10-18",261824131,156558619,105223364,4839664,1237034
"2021-10-19",263569544,156892317,106356335,5137429,1429769
"2021-10-20",265607325,157322792,107582227,5525142,1597257
"2021-10-21",266620080,157475037,108197260,5771569,1408276
"2021-10-22",267964026,157679997,108994434,6117946,1302079
"2021-10-23",268638494,157810514,109422127,6234557,1211518
"2021-10-24",269442502,157986323,109945760,6340977,1251318
"2021-10-25",271861944,158281322,111550520,6864893,1433973
"2021-10-26",273720279,158619663,112584033,7348675,1450105
"2021-10-27",275436454,158890656,113647161,7732904,1404161
"2021-10-28",277057532,159171324,114610870,8109625,1491065
"2021-10-29",278686713,159412919,115562494,8548187,1531812
"2021-10-30",279265141,159518249,115897379,8687173,1518092
"2021-10-31",279666131,159589151,116117550,8798263,1460518
"2021-11-01",279959241,159631476,116288959,8877862,1156757
"2021-11-02",280181200,159667965,116399784,8952577,922989
"2021-11-03",281228625,159792323,117020085,9256939,827453
"2021-11-04",282661800,160056071,117929773,9518430,800610
"2021-11-05",284683953,160333906,119243098,9942921,856749
"2021-11-06",285378181,160423951,119655284,10135262,873291
"2021-11-07",285943124,160707880,119901571,10172914,896713
"2021-11-08",287531811,160971992,120880423,10547189,1081796
"2021-11-09",288956195,161179478,121738604,10886116,1253571
"2021-11-10",290429521,161412780,122635903,11230958,1314414
"2021-11-11",292021210,161690791,123598784,11584564,1337059
"2021-11-12",293253508,161743151,124416550,11947900,1224222
"2021-11-13",293936446,161814220,124872035,12105575,1222609
"2021-11-14",294339583,161908494,125123667,12162832,1199494
"2021-11-15",294928227,161973124,125467475,12343281,1056631
"2021-11-16",295624622,162028086,125915845,12537109,952632
"2021-11-17",297253230,162257537,126961439,12891623,974816
